No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
21,CH02,21,CH02-021,CH02-021,【悪の陳腐さ】なぜ世界から「悪人」が消えないのか―凡人が悪魔に変わる時,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/021/content/assembled.md,✅完了,6797,2025-10-29 21:44:18,,,,歴史的な悲劇や日常に潜む「悪」が、特別な悪人ではなく、思考停止した凡人によって引き起こされることを論証。視聴者に自らの思考停止の危険性を自覚させ、主体的な判断の重要性を問いかける。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ハンナ・アーレントの『イェルサレムのアイヒマン』における「悪の陳腐さ」という概念を軸に構成。導入で凡庸な役人アイヒマンがなぜ大量虐殺に関与したのかを問い、思考停止とシステムの恐ろしさを解説。現代の組織やSNSにおける無自覚な加害性と結びつけ、日常に潜む「悪」の本質に迫る。,無数の歯車の一つとして、表情のないスーツ姿の男が書類にハンコを押している。しかし、そのハンコから滴るインクは血のように赤く、床に広がっている。男の背後には巨大で無機質な機械の影。モノクロ写真に赤色をアクセントにした、社会派で衝撃的なスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,あなたの中の“アイヒマン”,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/021/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
22,CH02,22,CH02-022,CH02-022,【嫉妬の哲学】他人の成功を喜べないあなたへ―嫉妬は“才能の羅針盤”である,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/022/content/assembled.md,✅完了,7320,2025-10-29 21:44:18,,,,一般的にネガティブな感情とされる「嫉妬」を、自己の欲望と可能性を発見するための重要なサインとして哲学的に再評価。他者との比較に苦しむ視聴者に、自己成長への新たな視点を提供する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,「なぜ私たちは、他人の幸福に嫉妬してしまうのか？」という問いから開始。ニーチェの「ルサンチマン」とキルケゴールの「羨望」の概念を用いて嫉妬の構造を分析。「あなたが嫉妬する対象は、あなたが本当に欲しているものの裏返しである」と論じ、嫉妬を自己理解と成長のエネルギーに転換する方法を提示する。,暗闇の中で、一人の人物が遠くで輝く星（他人の成功）を羨望の眼差しで見つめている。しかし、その人物が持つコンパスの針は、まさにその星を指し示している。嫉妬が道標であることを象徴的に表現。幻想的で美しいアートスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済 2025-10-31,完了 Δ0.3ms tol=50ms 2025-10-31,完了 2025-10-31,,,嫉妬は、才能の羅針盤,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/022/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
23,CH02,23,CH02-023,CH02-023,【退屈という病】なぜ暇な時間があると、人は不安になるのか―パスカルの警告,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/023/content/assembled.md,✅完了,6970,2025-10-29 21:44:18,,,,現代人が無意識に恐れる「退屈」や「暇」の本質を哲学的に解き明かす。スマホや娯楽で常に時間を埋めようとする行為が、自己との対峙から逃避しているだけであることを暴き、真の充実とは何かを問う。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,パスカルの『パンセ』における「人間の不幸はただ一つ、部屋で静かに休んでいられないことだ」という言葉を基軸に展開。なぜ人は気晴らし（ディヴェルティスマン）を求めるのかを分析。退屈の先にある自己との対話、そして創造性の源泉について論じ、静寂の時間を取り戻すことの重要性を説く。,がらんとした部屋の真ん中に一人座る人物。壁には無数の扉（スマホ、ゲーム、SNSなどの娯楽の象徴）があるが、人物はどの扉も開けず、自分の内側から湧き上がる黒い靄（不安や虚無）と対峙している。エドワード・ホッパーの絵画のような、孤独で内省的なスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済 2025-10-31,完了 Δ0.0ms tol=50ms 2025-10-31,完了 2025-10-31,,,暇が、あなたを狂わせる,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/023/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
24,CH02,24,CH02-024,CH02-024,【記憶の改竄】なぜ私たちは、過去を都合よく書き換えてしまうのか,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/024/content/assembled.md,✅完了,6773,2025-11-28 17:00:00,,,,記憶の不確かさと、脳が自己都合の良いように過去を改竄するメカニズムを脳科学と哲学の観点から解説。絶対的なものだと思われがちな「過去」や「思い出」の相対性を提示し、自己認識の危うさを暴く。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,認知心理学における「偽の記憶」の研究と、ベルクソンの「純粋持続」の概念を引用。導入で「なぜ記憶は時間と共に美化されたり、変化したりするのか」を問う。脳が物語を作ることで自己を維持する機能と、それによって生じる自己欺瞞について分析。「本当の自分」という概念の不確かさにまで踏み込む。,一人の人物が、自分の脳から出てきたフィルムテープを映写機で壁に映している。しかし、壁に映し出された思い出の映像は、元のフィルムとは微妙に異なり、都合よく編集されている。記憶の改竄を視覚的に表現。フィルム・ノワール風の、影と光を強調したスタイリッシュなイラスト。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,,完了 2025-10-30,,完了 2025-10-30,その記憶は、嘘かもしれない,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/024/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
25,CH02,25,CH02-025,CH02-025,【選択の呪い】「選べない」のは、あなたが臆病だからではない―自由という名の地獄,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/025/content/assembled.md,✅完了,6760,2025-10-29 21:44:18,,,,現代社会における「選択肢の多さ」が、幸福度を高めるどころか、かえって人々を麻痺させ、不幸にしているという「選択のパラドックス」を分析。決断疲れに悩む視聴者に、より良い選択のための哲学的視点を提供する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,バリー・シュワルツの『選択のパラドックス』と、キルケゴールの「あれか、これか」を引用。なぜ選択肢が増えると満足度が下がるのかを、機会費用の増大や後悔の念といった心理的メカニズムから解説。サルトルの言う「自由の刑」と結びつけ、選択の重圧から解放されるための思考法を提案する。,無数の道が放射状に伸びる交差点の中心で、途方に暮れて立ち尽くす一人の人物。どの道も霧に包まれて先が見えない。選択肢の多さがもたらす麻痺状態を表現。広角レンズで撮影したような、歪みと不安感を強調した構図。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済 2025-10-31,完了 Δ0.0ms tol=50ms 2025-10-31,完了 2025-10-31,,,多すぎる選択肢が、あなたを不幸にする,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/025/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
26,CH02,26,CH02-026,CH02-026,【優しさの刃】あなたの“良かれ”は、なぜ相手を傷つけるのか―他者への介入という暴力,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/026/content/assembled.md,✅完了,6920,2025-10-29 21:44:18,,,,「良かれと思って」という善意から行われるアドバイスや介入が、なぜしばしば相手を傷つけ、関係を破壊するのかを哲学的に考察。真の優しさとは何かを問い直し、他者との適切な距離感について論じる。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,レヴィナスの「他者の顔」の哲学を主軸に展開。「他者とは、決して理解し尽くせない無限の存在である」という思想を紹介し、相手を自分の理解の枠に押し込めることの倫理的な問題点を指摘。介入ではなく、ただ相手の存在を受け入れる「傾聴」の重要性を説く。,一人の人物が、別の人物の心臓（心）に優しく手を差し伸べている。しかし、その指先は鋭いメスに変わっており、相手の心を傷つけている。善意の裏に潜む暴力性を象威徴的に描く。カラヴァッジョのような劇的な光と影を用いた、写実的で寓話的なスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,その優しさは、暴力かもしれない,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/026/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
27,CH02,27,CH02-027,CH02-027,【仮面の社会】なぜ私たちは、会社や学校で“キャラ”を演じてしまうのか,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/027/content/assembled.md,✅完了,7754,2025-10-29 21:44:18,,,,ペルソナ（社会的仮面）を使い分けることがなぜ現代社会で不可欠なのか、そしてその代償として何が失われるのかをユング心理学の視点から分析。本当の自分と演じる自分のギャップに悩む視聴者に自己統合への道筋を示す。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,カール・グスタフ・ユングの「ペルソナ」と「シャドウ」の概念を用いて解説。ペルソナの社会的な必要性を肯定しつつも、ペルソナと自己を同一視することの危険性を指摘。抑圧された自己（シャドウ）と向き合い、統合していく「個性化の過程」の重要性を論じる。,クローゼットに様々な表情の仮面が並んでおり、その前に立ったのっぺらぼうの人物が、今日はどの仮面をつけようか選んでいる。アイデンティティの選択と喪失を表現。シュルレアリスム的で少し不気味なイラストスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,本当の顔を、忘れていませんか？,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/027/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
28,CH02,28,CH02-028,CH02-028,【都市の孤独】なぜ人口密度が高い東京ほど、人は孤独を感じるのか,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/028/content/assembled.md,✅完了,6939,2025-10-29 21:44:18,,,,大都市における孤独のメカニズムを、社会学者ジンメルの考察を基に哲学的に分析。物理的な距離の近さが、逆に心理的な距離を生み出すパラドックスを解き明かし、都市生活者の孤独感の正体に迫る。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ゲオルク・ジンメルの論文「大都市と精神生活」を現代の東京に当てはめて解説。過剰な神経刺激から自己を守るための「鈍感さ」や「控えめな態度」が、いかにして無関心と孤独を生み出すかを論じる。匿名性の中で真の人間関係を築くことの困難さと、その処方箋を探る。,夜の渋谷のスクランブル交差点。無数の人々がすれ違うが、一人一人が半透明のバブルに包まれており、決して交わることがない。都市の群衆の中の孤独を幻想的に表現。サイバーパンク風の色使いで、現代的な孤独を描くスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,人混みは、孤独を生産する工場だ,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/028/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
29,CH02,29,CH02-029,CH02-029,【才能の呪い】なぜ神童は大人になると、ただの人になるのか―才能の正しい殺し方,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/029/content/assembled.md,✅完了,7299,2025-11-28 17:00:00,,,,早熟の天才が、なぜ年を重ねるごとに輝きを失ってしまうことが多いのか。その原因を社会の期待、教育システム、そして本人自身の才能への執着から分析。「才能」という呪いから解放され、持続的に成長するための哲学を提示する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,オルテガの『大衆の反逆』における「専門の野蛮人」の概念や、創造性に関する心理学研究を引用。早期教育による思考の硬直化、周囲からの過剰な期待によるプレッシャー、「才能があるから」という努力の軽視などを指摘。才能を「出発点」と捉え、学び続けることの重要性を説く。,幼い子供が描いた、自由で色鮮やかな素晴らしい絵。その絵に、大人たちの無数の灰色の手が伸び、定規やコンパスを当てて「修正」しようとしている。才能が規格化によって殺される様子を寓話的に描く。バンクシーのような風刺的なストリートアートスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済 2025-11-01,完了 Δ0.0ms tol=50ms 2025-11-01,完了 2025-11-01,,完了 2025-11-01,天才を殺すのは、いつだって凡人だ,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/029/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
30,CH02,30,CH02-030,CH02-030,【笑いの哲学】なぜ私たちは、人の失敗を笑ってしまうのか―攻撃性としてのユーモア,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/030/content/assembled.md,✅完了,7258,2025-10-29 21:44:18,,,,日常的な「笑い」の中に潜む攻撃性や優越感のメカニズムを哲学的に解明する。特に、人の失敗や欠点に向けられる笑いが、なぜ面白いと感じられるのかを深掘りし、ユーモアの倫理について問い直す。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ホッブズの「優越理論」（笑いは他者に対する突然の優越感から生じる）と、フロイトの精神分析における「機知（ウィット）」の理論を解説。笑いが社会的緊張を緩和する機能と、無意識の攻撃性をカモフラージュする機能の両側面を分析。人を傷つけないユーモアと、暴力的な笑いの境界線はどこにあるのかを考察する。,舞台の上でピエロが転び、それを見て観客が大笑いしている。しかし、観客たちの口は鋭い牙を持つ肉食獣の口のように描かれている。笑いの裏に潜む攻撃性をシュールに表現。ジョージ・グロスのような、社会風刺の効いた表現主義的な画風。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,その笑いは、ナイフより鋭い,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/030/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
31,CH02,31,CH02-031,CH02-031,【静かなる崩壊】なぜ「真面目な人」ほど、ある日突然心が折れるのか―サイレント・バーンアウト,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/031/content/assembled.md,✅完了,7995,,,,,,,,静かなオフィスでデスクに座る真面目な人の背中がひび割れ、内側の光が漏れ始めている。周囲は整然としているのに本人だけが淡く崩れていく様子。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,なぜ「真面目な人」ほど、ある日突然心が折れるのか―サイレント・バーンアウト,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/031/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
32,CH02,32,CH02-032,CH02-032,【共感疲労】なぜ「優しい人」ほど、他人の痛みに押しつぶされてしまうのか,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/032/content/assembled.md,✅完了,7754,,,,,,,,優しい表情の人が他者の痛みを象徴する色の波を肩で受け止め、色が体を重く染めていく。背景に小さな涙の光が漂う。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,なぜ「優しい人」ほど、他人の痛みに押しつぶされてしまうのか,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/032/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
33,CH02,33,CH02-033,CH02-033,【ポジティブの呪い】なぜ「前向きな言葉」ほど、人を絶望させるのか―トキシック・ポジティビティ,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/033/content/assembled.md,✅完了,7661,,,,,,,,明るいポスターや笑顔の絵文字が壁を埋め尽くし、壁の裏からひび割れがのぞく。表面は陽気だが奥に暗い影が滲む。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,完了 2025-12-10,なぜ「前向きな言葉」ほど、人を絶望させるのか―トキシック・ポジティビティ,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/033/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ"
34,CH02,34,CH02-034,CH02-034,【順調の不安】予定通りに進む日ほど心がざわつく理由,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/034/content/assembled.md,,7814,,,,,,,,完璧に整ったデスクとカレンダー、机の隅に小さな亀裂とこぼれ落ちる砂時計。静かな不安が忍び寄る空気。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,予定通りに進む日ほど心がざわつく理由,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/034/content/assembled.md,,,,,,,,,,,
35,CH02,35,CH02-035,CH02-035,【深夜のリプレイ】昔の失言を繰り返し思い出す脳,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/035/content/assembled.md,,7755,,,,,,,,深夜のベッドで目を閉じる人物の周囲に透明な吹き出しが渦を巻き、過去の言葉が反響する。窓の外に蒼い月。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,昔の失言を繰り返し思い出す脳,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/035/content/assembled.md,,,,,,,,,,,
36,CH02,36,CH02-036,CH02-036,【発言の恐怖】会議で声が出なくなる心理,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/036/content/assembled.md,,7506,,,,,,,,会議室で口元に透明な糸が絡み声を塞ぐ人。周囲の参加者はぼんやりした影で、テーブルのマイクが遠く見える。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,会議で声が出なくなる心理,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/036/content/assembled.md,,,,,,,,,,,
37,CH02,37,CH02-037,CH02-037,【先回り疲れ】全部コントロールしたい人が燃え尽きる理由,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/037/content/assembled.md,,7745,,,,,,,,多くの糸であらゆるものを操ろうとする両手が絡まり、自分自身を縛っている。背景に計画表と時計。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,全部コントロールしたい人が燃え尽きる理由,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/037/content/assembled.md,,,,,,,,,,,
38,CH02,38,CH02-038,CH02-038,【停滞する部屋】片づけられない心が守っているもの,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/038/content/assembled.md,,7797,,,,,,,,散らかった部屋の中心に閉じた木箱があり、箱から柔らかな光が漏れる。散乱した物が守るべき記憶のように感じられる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,片づけられない心が守っているもの,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/038/content/assembled.md,,,,,,,,,,,
39,CH02,39,CH02-039,CH02-039,【祝福の飢餓】他人の成功が自分を削るメカニズム,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/039/content/assembled.md,,8179,,,,,,,,舞台上でスポットライトを浴びるトロフィーを、観客席の影が尖った形で見つめている。見る者の心が削られる感覚。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,他人の成功が自分を削るメカニズム,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/039/content/assembled.md,,,,,,,,,,,
40,CH02,40,CH02-040,CH02-040,【期待の重圧】褒め言葉が動きを止める瞬間,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/040/content/assembled.md,,8043,,,,,,,,褒め言葉を象徴する金色のリボンが肩に重く巻き付き、動きを止める人物。スポットライトが眩しく張り付いている。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,褒め言葉が動きを止める瞬間,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/040/content/assembled.md,,,,,,,,,,,
41,CH02,41,CH02-041,CH02-041,【同調の沼】同じ意見ばかり聞くと判断が鈍る,script_completed,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/041/content/assembled.md,,7290,,,,,,,,鏡の迷路の中で同じ形の吹き出しが何重にも反射し、中央の人物の表情が曇る。単調な色合いの閉塞感。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,同じ意見ばかり聞くと判断が鈍る,,,,,,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH02/041/content/assembled.md,,,,,,,,,,,
