channel,video,old,new
CH01,001,delivery: completed,timeline_copy: completed
CH02,001,in_progress: 13/13完了,script_outline: completed (13/13完了)
CH02,002,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,003,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,004,in_progress: 10/13完了,script_outline: completed (10/13完了)
CH02,005,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,006,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,007,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,008,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH02,009,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,010,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,011,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,012,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,013,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,014,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,015,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,016,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,017,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,018,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,019,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,020,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH02,021,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH02,022,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,023,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,024,in_progress: 12/13完了,script_outline: completed (12/13完了)
CH02,025,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH02,026,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH02,027,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH02,028,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH02,029,completed: 13/13完了,timeline_copy: completed (13/13完了)
CH02,030,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH03,001,completed: 12/13完了,timeline_copy: completed (12/13完了)
CH03,002,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,003,❓ global: audio_done,timeline_copy: audio_done
CH03,004,❓ global: script_validated,timeline_copy: script_validated
CH03,005,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,006,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,007,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,008,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,009,completed: 12/13完了,timeline_copy: completed (12/13完了)
CH03,010,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,011,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,012,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,013,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,014,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,015,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,016,timeline_ready: 11/13完了,timeline_copy: completed (11/13完了)
CH03,017,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,018,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,019,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,020,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,021,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,022,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,023,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,024,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,025,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,026,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,027,in_progress: 11/13完了,script_outline: completed (11/13完了)
CH03,028,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,029,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,030,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,031,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,032,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,033,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,034,completed: 11/13完了,timeline_copy: completed (11/13完了)
CH03,036,in_progress: 7/13完了,script_outline: completed (7/13完了)
CH03,038,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,039,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,040,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,041,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,042,in_progress: 8/13完了,script_outline: completed (8/13完了)
CH03,043,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,044,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH03,045,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,046,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,047,script_validated: 7/13完了,script_validation: completed (7/13完了)
CH03,048,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,049,script_validated: 9/12完了,script_validation: completed (9/12完了)
CH03,050,script_validated: 9/12完了,script_validation: completed (9/12完了)
CH03,051,❓ global: script_validated,timeline_copy: script_validated
CH03,052,in_progress: 8/11完了,script_outline: completed (8/11完了)
CH03,061,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH03,063,completed: 12/13完了,timeline_copy: completed (12/13完了)
CH04,001,❓ global: script_validated,timeline_copy: script_validated
CH04,002,audio_done: 11/13完了,audio_synthesis: completed (11/13完了)
CH04,003,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,004,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,005,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,006,❓ global: script_validated,timeline_copy: script_validated
CH04,011,❓ global: script_validated,timeline_copy: script_validated
CH04,016,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,017,in_progress: 9/13完了,script_outline: completed (9/13完了)
CH04,018,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,025,in_progress: 7/13完了,script_outline: completed (7/13完了)
CH04,031,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH04,032,completed: 7/13完了,timeline_copy: completed (7/13完了)
CH05,001,audio_done: 12/13完了 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/001/CH05-001_67歳からの新たな恋物語：亡き夫の遺言と初恋の再会_改行処理.txt,audio_synthesis: completed (12/13完了 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/001/CH05-001_67歳からの新たな恋物語：亡き夫の遺言と初恋の再会_改行処理.txt)
CH05,002,CH05:企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/002/CH05-002_【67歳の挑戦】亡き夫の「遺言」で始めたマッチングアプリ。「いいね」を押してくれたのは、40年前に別れた初恋の人でした。_改行処理.txt,script_outline: 企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/002/CH05-002_【67歳の挑戦】亡き夫の「遺言」で始めたマッチングアプリ。「いいね」を押してくれたのは、40年前に別れた初恋の人でした。_改行処理.txt
CH05,003,CH05:企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/003/CH05-003_【隣人トラブル】「毎晩うるさい！」隣室のバイオリンの音に怒鳴り込んだら、出てきたのは元オーケストラの指揮者だった。「君のために」と言われ…。_改行処理.txt,script_outline: 企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/003/CH05-003_【隣人トラブル】「毎晩うるさい！」隣室のバイオリンの音に怒鳴り込んだら、出てきたのは元オーケストラの指揮者だった。「君のために」と言われ…。_改行処理.txt
CH05,004,CH05:企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/004/CH05-004_【体験談】シルバー人材センターでペアを組んだのは、ライバル会社の元部長。「君のところのやり方は気に食わん！」と喧嘩ばかりだったのに…。_改行処理.txt,script_outline: 企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/004/CH05-004_【体験談】シルバー人材センターでペアを組んだのは、ライバル会社の元部長。「君のところのやり方は気に食わん！」と喧嘩ばかりだったのに…。_改行処理.txt
CH05,005,audio_done: 11/13完了,audio_synthesis: completed (11/13完了)
CH05,006,CH05:企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/006/CH05-006_【朗読】深夜ラジオのDJに「40年前に別れた恋人へ」と手紙を送った。数日後、番組で私の手紙が読まれ、彼からのアンサーソングが流れた時、涙が止まらなかった。_改行処理.txt,script_outline: 企画 | warn: path not found: output/CH05_シニア・恋愛_シニア恋愛_final/006/CH05-006_【朗読】深夜ラジオのDJに「40年前に別れた恋人へ」と手紙を送った。数日後、番組で私の手紙が読まれ、彼からのアンサーソングが流れた時、涙が止まらなかった。_改行処理.txt
CH05,007,❓ global: script_validated,timeline_copy: script_validated
CH05,008,❓ global: script_validated,timeline_copy: script_validated
CH05,014,in_progress: 2/13完了,script_outline: completed (2/13完了)
CH06,001,❓ global: script_validated,timeline_copy: script_validated
CH06,002,audio_done: 11/13完了,audio_synthesis: completed (11/13完了)
CH06,003,❓ global: script_validated,timeline_copy: script_validated
CH06,004,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,005,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,006,❓ global: script_validated,timeline_copy: script_validated
CH06,007,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,008,❓ global: script_validated,timeline_copy: script_validated
CH06,009,❓ global: script_validated,timeline_copy: script_validated
CH06,010,❓ global: script_validated,timeline_copy: script_validated
CH06,011,❓ global: script_validated,timeline_copy: script_validated
CH06,012,❓ global: script_validated,timeline_copy: script_validated
CH06,013,❓ global: script_validated,timeline_copy: script_validated
CH06,015,❓ global: script_validated,timeline_copy: script_validated
CH06,016,❓ global: script_validated,timeline_copy: script_validated
CH06,017,❓ global: script_validated,timeline_copy: script_validated
CH06,018,❓ global: script_validated,timeline_copy: script_validated
CH06,020,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,021,❓ global: script_validated,timeline_copy: script_validated
